,FinalWorth,Person Name,Age,country,City,source,Industries,Country_Of_Citizenship,Self_Made,Status,Gender,State,Residence_State_Region,Birth Year,Birth Month,Birthday,CPI Country,CPI ChangeCountry,GDP_Country,Gross_Tertiarye_Education_Enrollment,Gross_Primary_Education_Enrollment_Country,Life_Expectancy_Country,Tax_Revenue_Country,Total_TaxRate_Country,Population_Country,Latitude Country,Longitude Country
63,23100,Iris Fontbona & family,80.0,Chile,Santiago,Mining,Metals & Mining,Chile,False,U,F,,,1943.0,1.0,1.0,131.91,2.6,282318159745.0,88.5,101.4,80.0,18.2,34.0,18952038.0,-35.675147,-71.542969
64,23100,Michael Hartono,83.0,Indonesia,Kudus,"Banking, tobacco",Manufacturing,Indonesia,False,U,M,,,1939.0,10.0,2.0,151.18,3.0,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327
65,22900,James Ratcliffe,70.0,United Kingdom,London,Chemicals,Manufacturing,United Kingdom,True,U,M,,,1953.0,1.0,1.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
66,22600,Cyrus Poonawalla,81.0,India,Pune,Vaccines,Healthcare,India,False,D,M,,,1941.0,5.0,11.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
67,22400,Masayoshi Son,65.0,Japan,Tokyo,"Internet, telecom",Telecom,Japan,True,U,M,,,1957.0,8.0,11.0,105.48,0.5,5081769542380.0,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
68,22100,Vladimir Lisin,66.0,Russia,Moscow,"Steel, transport",Metals & Mining,Russia,True,U,M,,,1956.0,5.0,7.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
69,22000,Emmanuel Besnier,52.0,France,Laval,Cheese,Food & Beverage,France,False,D,M,,,1970.0,9.0,18.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
70,21600,Abigail Johnson,61.0,United States,Milton,Fidelity,Finance & Investments,United States,False,U,F,Massachusetts,Northeast,1961.0,12.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
71,21600,Leonid Mikhelson & family,67.0,Russia,Moscow,"Gas, chemicals",Energy,Russia,True,U,M,,,1955.0,8.0,11.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
72,21200,Lukas Walton,36.0,United States,Chicago,Walmart,Fashion & Retail,United States,False,U,M,Illinois,Midwest,1986.0,9.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
73,21200,Wang Wei,52.0,China,Shenzhen,Package delivery,Service,China,True,D,M,,,1970.0,10.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
74,21100,Jensen Huang,60.0,United States,Los Altos,Semiconductors,Technology,United States,True,U,M,California,West,1963.0,2.0,17.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
75,21000,Leonard Lauder,90.0,United States,New York,Estee Lauder,Fashion & Retail,United States,False,D,M,New York,Northeast,1933.0,3.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
76,21000,Takemitsu Takizaki,77.0,Japan,Osaka,Sensors,Manufacturing,Japan,True,D,M,,,1945.0,6.0,10.0,105.48,0.5,5081769542380.0,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
77,20900,Alexey Mordashov & family,57.0,Russia,Moscow,"Steel, investments",Metals & Mining,Russia,True,U,M,,,1965.0,9.0,26.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
78,20500,Vagit Alekperov,72.0,Russia,Moscow,Oil,Energy,Russia,True,U,M,,,1950.0,9.0,1.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
79,20200,"Thomas Frist, Jr. & family",84.0,United States,Nashville,Hospitals,Healthcare,United States,True,D,M,Tennessee,South,1938.0,8.0,12.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
80,19600,Andrew Forrest,61.0,Australia,Perth,Mining,Metals & Mining,Australia,True,U,M,,,1961.0,11.0,18.0,119.8,1.6,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
81,19100,Ray Dalio,73.0,United States,Greenwich,Hedge funds,Finance & Investments,United States,True,D,M,Connecticut,Northeast,1949.0,8.0,8.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
82,19000,Eric Li,59.0,China,Hangzhou,Automobiles,Automotive,China,True,D,M,,,1963.0,6.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
83,19000,Wang Wenyin,55.0,China,Shenzhen,"Mining, copper products",Metals & Mining,China,True,U,M,,,1968.0,3.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
84,18900,Eyal Ofer,72.0,Monaco,Monte Carlo,"Real estate, shipping",Diversified,Israel,False,U,M,,,1950.0,6.0,2.0,,,7184844193.0,,,,,,38964.0,43.7384176,7.4246158
85,18900,Qin Yinglin,57.0,China,Nanyang,Pig breeding,Food & Beverage,China,True,D,M,,,1965.0,4.0,17.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
86,18700,Wang Chuanfu,57.0,China,Shenzhen,"Batteries, automobiles",Automotive,China,True,D,M,,,1966.0,2.0,15.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
87,18500,Harold Hamm & family,77.0,United States,Oklahoma City,Oil & gas,Energy,United States,True,U,M,Oklahoma,South,1945.0,12.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
88,18500,David Tepper,65.0,United States,Palm Beach,Hedge funds,Finance & Investments,United States,True,U,M,Florida,South,1957.0,9.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
89,18500,Gennady Timchenko,70.0,Russia,Moscow,"Oil, gas",Energy,Russia,True,U,M,,,1952.0,11.0,9.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
90,18000,Daniel Gilbert,61.0,United States,Franklin,Quicken Loans,Finance & Investments,United States,True,D,M,Michigan,Midwest,1962.0,1.0,17.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
91,17700,Lakshmi Mittal,72.0,United Kingdom,London,Steel,Metals & Mining,India,False,D,M,,,1950.0,6.0,15.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
92,17500,Steve Cohen,66.0,United States,Greenwich,Hedge funds,Finance & Investments,United States,True,U,M,Connecticut,Northeast,1956.0,6.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
93,17500,Carl Icahn,87.0,United States,Indian Creek,Investments,Finance & Investments,United States,True,U,M,Florida,South,1936.0,2.0,16.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
94,17500,Savitri Jindal & family,73.0,India,Hisar,Steel,Metals & Mining,India,False,D,F,,,1950.0,3.0,20.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
95,17400,Donald Bren,90.0,United States,Newport Beach,Real estate,Real Estate,United States,True,U,M,California,West,1932.0,5.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
96,17400,"John Menard, Jr.",83.0,United States,Eau Claire,Home improvement stores,Fashion & Retail,United States,True,U,M,Wisconsin,Midwest,1940.0,1.0,22.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
97,17100,Rupert Murdoch & family,92.0,United States,New York,"Newspapers, TV network",Media & Entertainment,United States,False,D,M,New York,Northeast,1931.0,3.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
98,16700,Vicky Safra & family,70.0,Switzerland,Crans-Montana,Banking,Finance & Investments,Brazil,False,U,F,,,1953.0,1.0,1.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
99,16500,"Theo Albrecht, Jr. & family",72.0,Germany,Mulheim an der Ruhr,"Aldi, Trader Joe's",Fashion & Retail,Germany,False,D,M,,,1951.0,1.0,1.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
100,16500,Renata Kellnerova & family,55.0,Czech Republic,Prague,"Finance, telecommunications",Finance & Investments,Czech Republic,False,D,F,,,1967.0,7.0,4.0,116.48,2.8,246489245495.0,64.1,100.7,79.0,14.9,46.1,10669709.0,49.817492,15.472962
101,16300,Li Xiting,72.0,China,Shenzhen,medical devices,Healthcare,Singapore,True,D,M,,,1951.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
102,16200,Stefan Persson,75.0,Sweden,Stockholm,H&M,Fashion & Retail,Sweden,False,D,M,,,1947.0,10.0,4.0,110.51,1.8,530832908738.0,67.0,126.6,82.5,27.9,49.1,10285453.0,60.128161,18.643501
103,16200,Eric Schmidt,67.0,United States,Atherton,Google,Technology,United States,True,D,M,California,West,1955.0,4.0,27.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
104,16000,Michael Platt,55.0,Switzerland,Geneva,Hedge funds,Finance & Investments,United Kingdom,True,U,M,,,1968.0,3.0,18.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
105,15900,Pang Kang,67.0,China,Foshan,Soy sauce,Food & Beverage,China,True,D,M,,,1956.0,1.0,19.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
106,15800,Karl Albrecht Jr. & family,,Germany,,Supermarkets,Fashion & Retail,Germany,False,Split Family Fortune,M,,,,,,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
107,15800,Beate Heister,,,,Supermarkets,Fashion & Retail,Germany,False,Split Family Fortune,F,,,,,,,,,,,,,,,,
108,15800,Jorge Paulo Lemann & family,83.0,Switzerland,Zurich,Beer,Food & Beverage,Brazil,True,U,M,,,1939.0,8.0,26.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
109,15800,Peter Woo,76.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,False,D,M,,,1946.0,9.0,5.0,,,,,,,,,,,
110,15600,Dilip Shanghvi,67.0,India,Mumbai,Pharmaceuticals,Healthcare,India,True,E,M,,,1955.0,10.0,1.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
